page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
C2-p001,,38-39,,ocr/C2/page-images/C2-p001.png,,other,non-target continuation from an earlier section before the Faith in Mind translation span
C2-p002,,40-41,,ocr/C2/page-images/C2-p002.png,,other,non-target material before the Faith in Mind translation span
C2-p003,,42-43,,ocr/C2/page-images/C2-p003.png,,other,non-target material
C2-p004,,44-45,,ocr/C2/page-images/C2-p004.png,,other,non-target material
C2-p005,,46-47,,ocr/C2/page-images/C2-p005.png,,other,non-target material
C2-p006,,48-49,,ocr/C2/page-images/C2-p006.png,,other,non-target material
C2-p007,,50-51,,ocr/C2/page-images/C2-p007.png,,other,non-target material
C2-p008,,52-53,,ocr/C2/page-images/C2-p008.png,,other,non-target material
C2-p009,,54-55,,ocr/C2/page-images/C2-p009.png,,other,non-target material
C2-p010,,56-57,,ocr/C2/page-images/C2-p010.png,,other,non-target material
C2-p011,,58-59,,ocr/C2/page-images/C2-p011.png,,other,non-target material
C2-p012,,60-61,,ocr/C2/page-images/C2-p012.png,,other,non-target material
C2-p013,,62-63,,ocr/C2/page-images/C2-p013.png,,other,non-target material
C2-p014,,64-65,,ocr/C2/page-images/C2-p014.png,,other,non-target material
C2-p015,,66-67,,ocr/C2/page-images/C2-p015.png,,other,non-target material
C2-p016,,68-69,,ocr/C2/page-images/C2-p016.png,,other,non-target material
C2-p017,,70-71,,ocr/C2/page-images/C2-p017.png,,other,non-target material
C2-p018,,72-73,,ocr/C2/page-images/C2-p018.png,,other,non-target material
C2-p019,,74-75,,ocr/C2/page-images/C2-p019.png,,other,non-target material immediately before the `支那諷詠部` divider
C2-p020,,46-47,,ocr/C2/page-images/C2-p020.png,,title,section divider page for `第七 支那諷詠部`
C2-p021,,48-49,,ocr/C2/page-images/C2-p021.png,,body,mixed opening spread: right page is section explanation while left page opens `三祖大師信心銘`
C2-p022,,50-51,,ocr/C2/page-images/C2-p022.png,,body,full continuation spread of the `三祖大師信心銘` target text
C2-p023,,52-53,,ocr/C2/page-images/C2-p023.png,,body,mixed closing spread: right page carries `三祖信心銘終` while left page already begins `洞山悟本大師寶鏡三昧`
C2-p024,,54-55,,ocr/C2/page-images/C2-p024.png,,other,non-target material after the Faith in Mind translation span
C2-p025,,56-57,,ocr/C2/page-images/C2-p025.png,,other,non-target material
C2-p026,,58-59,,ocr/C2/page-images/C2-p026.png,,other,non-target material
C2-p027,,60-61,,ocr/C2/page-images/C2-p027.png,,other,non-target material
C2-p028,,62-63,,ocr/C2/page-images/C2-p028.png,,other,non-target material
C2-p029,,64-65,,ocr/C2/page-images/C2-p029.png,,other,non-target material
C2-p030,,66-67,,ocr/C2/page-images/C2-p030.png,,other,non-target material
C2-p031,,68-69,,ocr/C2/page-images/C2-p031.png,,other,non-target material immediately before the next section divider
C2-p032,,40-41,,ocr/C2/page-images/C2-p032.png,,title,section divider page for `第八 日本祖録部`
C2-p033,,42-43,,ocr/C2/page-images/C2-p033.png,,other,non-target material
C2-p034,,44-45,,ocr/C2/page-images/C2-p034.png,,other,non-target material
C2-p035,,46-47,,ocr/C2/page-images/C2-p035.png,,other,non-target material
C2-p036,,48-49,,ocr/C2/page-images/C2-p036.png,,other,non-target material
C2-p037,,50-51,,ocr/C2/page-images/C2-p037.png,,other,non-target material
C2-p038,,52-53,,ocr/C2/page-images/C2-p038.png,,other,non-target material
C2-p039,,54-55,,ocr/C2/page-images/C2-p039.png,,other,non-target material
C2-p040,,56-57,,ocr/C2/page-images/C2-p040.png,,other,non-target material
C2-p041,,58-59,,ocr/C2/page-images/C2-p041.png,,other,non-target material including `學道心銘` rather than the target `信心銘`
C2-p042,,60-61,,ocr/C2/page-images/C2-p042.png,,other,non-target material
C2-p043,,62-63,,ocr/C2/page-images/C2-p043.png,,other,non-target material
C2-p044,,64-65,,ocr/C2/page-images/C2-p044.png,,other,non-target material
C2-p045,,66-67,,ocr/C2/page-images/C2-p045.png,,other,non-target material
C2-p046,,68-69,,ocr/C2/page-images/C2-p046.png,,other,non-target material
C2-p047,,70-71,,ocr/C2/page-images/C2-p047.png,,other,non-target material
C2-p048,,72-73,,ocr/C2/page-images/C2-p048.png,,other,non-target material
C2-p049,,74-75,,ocr/C2/page-images/C2-p049.png,,other,non-target material
C2-p050,,76-77,,ocr/C2/page-images/C2-p050.png,,other,non-target material
C2-p051,,78-79,,ocr/C2/page-images/C2-p051.png,,other,non-target material
C2-p052,,80-81,,ocr/C2/page-images/C2-p052.png,,other,non-target material
C2-p053,,82-83,,ocr/C2/page-images/C2-p053.png,,other,non-target material
C2-p054,,84-85,,ocr/C2/page-images/C2-p054.png,,other,non-target material
C2-p055,,86-87,,ocr/C2/page-images/C2-p055.png,,other,non-target material
C2-p056,,88-89,,ocr/C2/page-images/C2-p056.png,,other,non-target material
C2-p057,,90-91,,ocr/C2/page-images/C2-p057.png,,other,non-target material
C2-p058,,92-93,,ocr/C2/page-images/C2-p058.png,,other,non-target material
C2-p059,,94-95,,ocr/C2/page-images/C2-p059.png,,other,non-target material immediately before the next section divider
C2-p060,,96-97,,ocr/C2/page-images/C2-p060.png,,title,section divider page for `第九 日本頌詠部`
C2-p061,,98-99,,ocr/C2/page-images/C2-p061.png,,other,non-target material
C2-p062,,100-101,,ocr/C2/page-images/C2-p062.png,,other,non-target material
C2-p063,,102-103,,ocr/C2/page-images/C2-p063.png,,other,non-target material
C2-p064,,104-105,,ocr/C2/page-images/C2-p064.png,,other,non-target material
C2-p065,,106-107,,ocr/C2/page-images/C2-p065.png,,other,non-target material
C2-p066,,108-109,,ocr/C2/page-images/C2-p066.png,,other,non-target material
C2-p067,,110-111,,ocr/C2/page-images/C2-p067.png,,other,non-target material
C2-p068,,112-113,,ocr/C2/page-images/C2-p068.png,,other,non-target material
C2-p069,,114-115,,ocr/C2/page-images/C2-p069.png,,other,non-target material
C2-p070,,116-117,,ocr/C2/page-images/C2-p070.png,,other,non-target material
C2-p071,,118-119,,ocr/C2/page-images/C2-p071.png,,other,non-target material
C2-p072,,120-121,,ocr/C2/page-images/C2-p072.png,,other,non-target material
C2-p073,,122-123,,ocr/C2/page-images/C2-p073.png,,other,non-target material
C2-p074,,124-125,,ocr/C2/page-images/C2-p074.png,,other,non-target material
C2-p075,,126-127,,ocr/C2/page-images/C2-p075.png,,other,non-target material
C2-p076,,128-129,,ocr/C2/page-images/C2-p076.png,,other,non-target material
C2-p077,,130-131,,ocr/C2/page-images/C2-p077.png,,other,non-target material
C2-p078,,132-133,,ocr/C2/page-images/C2-p078.png,,other,non-target material
C2-p079,,134-135,,ocr/C2/page-images/C2-p079.png,,other,non-target material
C2-p080,,136-137,,ocr/C2/page-images/C2-p080.png,,other,non-target material
C2-p081,,138-139,,ocr/C2/page-images/C2-p081.png,,other,non-target material
C2-p082,,140-141,,ocr/C2/page-images/C2-p082.png,,other,non-target material
C2-p083,,142-143,,ocr/C2/page-images/C2-p083.png,,other,non-target material
C2-p084,,144-145,,ocr/C2/page-images/C2-p084.png,,other,non-target material
C2-p085,,146-147,,ocr/C2/page-images/C2-p085.png,,other,non-target material
C2-p086,,148-149,,ocr/C2/page-images/C2-p086.png,,other,non-target material
C2-p087,,150-151,,ocr/C2/page-images/C2-p087.png,,other,non-target material
C2-p088,,152-153,,ocr/C2/page-images/C2-p088.png,,other,non-target material
C2-p089,,154-155,,ocr/C2/page-images/C2-p089.png,,other,non-target material
C2-p090,,156-157,,ocr/C2/page-images/C2-p090.png,,other,non-target material
C2-p091,,158-159,,ocr/C2/page-images/C2-p091.png,,other,non-target material
C2-p092,,160-161,,ocr/C2/page-images/C2-p092.png,,other,non-target material
C2-p093,,162-163,,ocr/C2/page-images/C2-p093.png,,other,non-target material immediately before the next section divider
C2-p094,,164-165,,ocr/C2/page-images/C2-p094.png,,title,section divider page for `第十 日用諷誦偈文部`
C2-p095,,166-167,,ocr/C2/page-images/C2-p095.png,,other,non-target devotional or liturgical material
C2-p096,,168-169,,ocr/C2/page-images/C2-p096.png,,other,non-target devotional or liturgical material
C2-p097,,170-171,,ocr/C2/page-images/C2-p097.png,,other,non-target devotional or liturgical material
C2-p098,,172-173,,ocr/C2/page-images/C2-p098.png,,other,non-target devotional or liturgical material
C2-p099,,174-175,,ocr/C2/page-images/C2-p099.png,,other,non-target devotional or liturgical material
C2-p100,,176-177,,ocr/C2/page-images/C2-p100.png,,other,rear closing material for the rendered part-volume
