page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
T5-p001,,1,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00001.jpg,,title,front cover or wrapper for the Kyoto shiburoku witness
T5-p002,,2,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00002.jpg,,title,opened outer wrapper or cover spread for the Kyoto shiburoku witness
T5-p003,,3,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00003.jpg,,title,inner cover or title-adjacent wrapper material before the target text begins
T5-p004,,4,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00004.jpg,,body,opening page of the Faith in Mind text in the T5 anthology witness
T5-p005,,5,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00005.jpg,,body,mid-body page of the Faith in Mind text in the T5 anthology witness
T5-p006,,6,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00006.jpg,,body,closing page of the Faith in Mind text ending with the explicit final lines
T5-p007,,7,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00007.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p008,,8,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00008.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p009,,9,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00009.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p010,,10,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00010.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p011,,11,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00011.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p012,,12,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00012.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p013,,13,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00013.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p014,,14,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00014.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p015,,15,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00015.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p016,,16,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00016.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p017,,17,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00017.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p018,,18,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00018.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p019,,19,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00019.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p020,,20,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00020.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p021,,21,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00021.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p022,,22,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00022.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p023,,23,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00023.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p024,,24,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00024.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p025,,25,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00025.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p026,,26,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00026.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p027,,27,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00027.jpg,,other,subsequent anthology material beyond the Faith in Mind span
T5-p028,,28,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00028.jpg,,other,late anthology or tail material beyond the Faith in Mind span
T5-p029,,29,,Faith_in_Mind_Kyoto_RB00012929_Shiburoku/images/RB00012929_00029.jpg,,title,back cover or rear wrapper for the Kyoto shiburoku witness
