page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
T3-p001,,1,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00001.jpg,,title,front cover or wrapper matter for the Kyoto RB00016909 anthology witness
T3-p002,,2,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00002.jpg,,title,opened front wrapper or title-adjacent matter for the Kyoto RB00016909 anthology witness
T3-p003,,3,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00003.jpg,,title,inner title material for the anthology branch before the target text begins
T3-p004,,4,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00004.jpg,,other,early anthology prose before the Faith in Mind span
T3-p005,,5,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00005.jpg,,other,anthology prose before the Faith in Mind span
T3-p006,,6,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00006.jpg,,other,anthology prose before the Faith in Mind span
T3-p007,,7,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00007.jpg,,other,anthology prose before the Faith in Mind span
T3-p008,,8,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00008.jpg,,other,anthology prose before the Faith in Mind span
T3-p009,,9,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00009.jpg,,other,anthology prose before the Faith in Mind span
T3-p010,,10,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00010.jpg,,other,anthology prose before the Faith in Mind span
T3-p011,,11,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00011.jpg,,other,anthology prose before the Faith in Mind span
T3-p012,,12,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00012.jpg,,other,anthology prose before the Faith in Mind span
T3-p013,,13,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00013.jpg,,other,anthology prose before the Faith in Mind span
T3-p014,,14,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00014.jpg,,other,anthology prose before the Faith in Mind span
T3-p015,,15,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00015.jpg,,other,anthology prose before the Faith in Mind span
T3-p016,,16,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00016.jpg,,other,anthology prose before the Faith in Mind span
T3-p017,,17,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00017.jpg,,other,anthology prose before the Faith in Mind span
T3-p018,,18,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00018.jpg,,other,anthology prose before the Faith in Mind span
T3-p019,,19,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00019.jpg,,other,anthology prose before the Faith in Mind span
T3-p020,,20,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00020.jpg,,other,anthology prose before the Faith in Mind span
T3-p021,,21,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00021.jpg,,other,anthology prose before the Faith in Mind span
T3-p022,,22,,Faith_in_Mind_Sengcan_Kyoto_RB00016909/images/RB00016909_00022.jpg,,other,anthology prose before the Faith in Mind span
