page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
T2-p001,,1,,ocr/T2/page-images/T2-p001.png,,title,front cover or wrapper for the NDL shiburoku witness
T2-p002,,2,,ocr/T2/page-images/T2-p002.png,,title,inside wrapper or blank-verso opening before the target text begins
T2-p003,,3,,ocr/T2/page-images/T2-p003.png,,body,opening page of the Faith in Mind text in the T2 anthology witness
T2-p004,,4,,ocr/T2/page-images/T2-p004.png,,body,mid-body page of the Faith in Mind text in the T2 anthology witness
T2-p005,,5,,ocr/T2/page-images/T2-p005.png,,body,closing page of the Faith in Mind text ending with the explicit final lines
T2-p006,,6,,ocr/T2/page-images/T2-p006.png,,colophon,post-text anthology or imprint matter immediately after the Faith in Mind span
T2-p007,,7,,ocr/T2/page-images/T2-p007.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p008,,8,,ocr/T2/page-images/T2-p008.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p009,,9,,ocr/T2/page-images/T2-p009.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p010,,10,,ocr/T2/page-images/T2-p010.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p011,,11,,ocr/T2/page-images/T2-p011.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p012,,12,,ocr/T2/page-images/T2-p012.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p013,,13,,ocr/T2/page-images/T2-p013.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p014,,14,,ocr/T2/page-images/T2-p014.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p015,,15,,ocr/T2/page-images/T2-p015.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p016,,16,,ocr/T2/page-images/T2-p016.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p017,,17,,ocr/T2/page-images/T2-p017.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p018,,18,,ocr/T2/page-images/T2-p018.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p019,,19,,ocr/T2/page-images/T2-p019.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p020,,20,,ocr/T2/page-images/T2-p020.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p021,,21,,ocr/T2/page-images/T2-p021.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p022,,22,,ocr/T2/page-images/T2-p022.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p023,,23,,ocr/T2/page-images/T2-p023.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p024,,24,,ocr/T2/page-images/T2-p024.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p025,,25,,ocr/T2/page-images/T2-p025.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p026,,26,,ocr/T2/page-images/T2-p026.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p027,,27,,ocr/T2/page-images/T2-p027.png,,other,subsequent anthology material beyond the Faith in Mind span
T2-p028,,28,,ocr/T2/page-images/T2-p028.png,,title,back cover or rear wrapper for the NDL shiburoku witness
