page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
C14-p001,,1,,provenance/faith-in-mind/ocr/C14/page-images/C14-p001.png,,body,通俗信心銘講話 part 2 continuation body
C14-p002,,2,,provenance/faith-in-mind/ocr/C14/page-images/C14-p002.png,,body,通俗信心銘講話 part 2 continuation body
C14-p003,,3,,provenance/faith-in-mind/ocr/C14/page-images/C14-p003.png,,body,通俗信心銘講話 part 2 continuation body
C14-p004,,4,,provenance/faith-in-mind/ocr/C14/page-images/C14-p004.png,,body,通俗信心銘講話 part 2 continuation body
C14-p005,,5,,provenance/faith-in-mind/ocr/C14/page-images/C14-p005.png,,body,通俗信心銘講話 part 2 continuation body
C14-p006,,6,,provenance/faith-in-mind/ocr/C14/page-images/C14-p006.png,,body,通俗信心銘講話 part 2 continuation body
C14-p007,,7,,provenance/faith-in-mind/ocr/C14/page-images/C14-p007.png,,body,通俗信心銘講話 part 2 continuation body
C14-p008,,8,,provenance/faith-in-mind/ocr/C14/page-images/C14-p008.png,,body,通俗信心銘講話 part 2 continuation body
C14-p009,,9,,provenance/faith-in-mind/ocr/C14/page-images/C14-p009.png,,mixed_body_colophon,terminal body surface plus publication or colophon matter
C14-p010,,10,,provenance/faith-in-mind/ocr/C14/page-images/C14-p010.png,,publisher_catalogue_or_advertising,publisher catalogue or advertising matter
C14-p011,,11,,provenance/faith-in-mind/ocr/C14/page-images/C14-p011.png,,publisher_catalogue_or_advertising,publisher catalogue or advertising matter
C14-p012,,12,,provenance/faith-in-mind/ocr/C14/page-images/C14-p012.png,,publisher_catalogue_or_advertising,publisher catalogue or advertising matter
C14-p013,,13,,provenance/faith-in-mind/ocr/C14/page-images/C14-p013.png,,publisher_catalogue_or_advertising,publisher catalogue or advertising matter
C14-p014,,14,,provenance/faith-in-mind/ocr/C14/page-images/C14-p014.png,,rear_wrapper_or_library_tail,rear wrapper or library-tail image
C14-p015,,15,,provenance/faith-in-mind/ocr/C14/page-images/C14-p015.png,,rear_cover_or_library_tail,rear cover/title or library-tail image
