page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
C7-p001,,1,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00001.jpg,,title,front wrapper or cover for the Kyoto nentei witness
C7-p002,,2,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00002.jpg,,title,front wrapper spread with pasted title slips
C7-p003,,3,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00003.jpg,,title,inner cover or wrapper with pasted title slip and library label
C7-p004,,4,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00004.jpg,,other,opening prefatory or title matter including the printed preface heading
C7-p005,,5,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00005.jpg,,other,continued prefatory matter before the main commentary body
C7-p006,,6,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00006.jpg,,body,opening page of the main commentary body for the Kyoto nentei witness
C7-p007,,7,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00007.jpg,,body,early commentary body
C7-p008,,8,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00008.jpg,,body,early commentary body
C7-p009,,9,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00009.jpg,,body,early commentary body
C7-p010,,10,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00010.jpg,,body,commentary body keyed to visible poem lemmata
C7-p011,,11,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00011.jpg,,body,commentary body
C7-p012,,12,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00012.jpg,,body,commentary body
C7-p013,,13,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00013.jpg,,body,commentary body
C7-p014,,14,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00014.jpg,,body,commentary body
C7-p015,,15,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00015.jpg,,body,commentary body
C7-p016,,16,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00016.jpg,,body,commentary body
C7-p017,,17,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00017.jpg,,body,commentary body
C7-p018,,18,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00018.jpg,,body,commentary body
C7-p019,,19,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00019.jpg,,body,commentary body
C7-p020,,20,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00020.jpg,,body,commentary body
C7-p021,,21,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00021.jpg,,body,commentary body
C7-p022,,22,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00022.jpg,,body,commentary body
C7-p023,,23,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00023.jpg,,body,commentary body
C7-p024,,24,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00024.jpg,,body,commentary body
C7-p025,,25,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00025.jpg,,body,commentary body
C7-p026,,26,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00026.jpg,,body,commentary body
C7-p027,,27,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00027.jpg,,body,commentary body
C7-p028,,28,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00028.jpg,,body,commentary body
C7-p029,,29,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00029.jpg,,body,commentary body
C7-p030,,30,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00030.jpg,,body,commentary body
C7-p031,,31,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00031.jpg,,body,commentary body
C7-p032,,32,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00032.jpg,,body,commentary body
C7-p033,,33,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00033.jpg,,body,commentary body
C7-p034,,34,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00034.jpg,,body,commentary body
C7-p035,,35,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00035.jpg,,body,commentary body
C7-p036,,36,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00036.jpg,,body,commentary body
C7-p037,,37,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00037.jpg,,body,commentary body
C7-p038,,38,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00038.jpg,,body,commentary body
C7-p039,,39,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00039.jpg,,body,commentary body
C7-p040,,40,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00040.jpg,,body,commentary body
C7-p041,,41,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00041.jpg,,body,commentary body
C7-p042,,42,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00042.jpg,,body,late commentary body
C7-p043,,43,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00043.jpg,,body,late commentary body immediately before the publication tail
C7-p044,,44,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00044.jpg,,colophon,printed publication or colophon matter after the commentary body
C7-p045,,45,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00045.jpg,,title,rear pastedown or wrapper-side tail matter
C7-p046,,46,,Faith_in_Mind_Kyoto_RB00018401_Nentei/images/RB00018401_00046.jpg,,title,back wrapper or cover for the Kyoto nentei witness
