page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
T1-p001,,1,,ocr/T1/page-images/T1-p001.png,,title,cover or title page
T1-p002,,2,,ocr/T1/page-images/T1-p002.png,,title,main title page
T1-p003,,3,,ocr/T1/page-images/T1-p003.png,,title,flyleaf or sparse title matter
T1-p004,,4,,ocr/T1/page-images/T1-p004.png,,title,bibliographic or imprint matter
T1-p005,,5,,ocr/T1/page-images/T1-p005.png,,preface,opening prose before poem incipit
T1-p006,,6,,ocr/T1/page-images/T1-p006.png,,preface,opening prose before poem incipit
T1-p007,,7,,ocr/T1/page-images/T1-p007.png,,commentary,commentary-dominant page with poem lemma or incipit material
T1-p008,,8,,ocr/T1/page-images/T1-p008.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p009,,9,,ocr/T1/page-images/T1-p009.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p010,,10,,ocr/T1/page-images/T1-p010.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p011,,11,,ocr/T1/page-images/T1-p011.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p012,,12,,ocr/T1/page-images/T1-p012.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p013,,13,,ocr/T1/page-images/T1-p013.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p014,,14,,ocr/T1/page-images/T1-p014.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p015,,15,,ocr/T1/page-images/T1-p015.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p016,,16,,ocr/T1/page-images/T1-p016.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p017,,17,,ocr/T1/page-images/T1-p017.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p018,,18,,ocr/T1/page-images/T1-p018.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p019,,19,,ocr/T1/page-images/T1-p019.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p020,,20,,ocr/T1/page-images/T1-p020.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p021,,21,,ocr/T1/page-images/T1-p021.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p022,,22,,ocr/T1/page-images/T1-p022.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p023,,23,,ocr/T1/page-images/T1-p023.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p024,,24,,ocr/T1/page-images/T1-p024.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p025,,25,,ocr/T1/page-images/T1-p025.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p026,,26,,ocr/T1/page-images/T1-p026.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p027,,27,,ocr/T1/page-images/T1-p027.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p028,,28,,ocr/T1/page-images/T1-p028.png,,commentary,commentary-dominant page with embedded poem lemma lines
T1-p029,,29,,ocr/T1/page-images/T1-p029.png,,commentary,commentary-dominant page with embedded poem lemma lines
