page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
C16-p001,,1,,provenance/faith-in-mind/ocr/C16/page-images/C16-p001.png,,front_cover,front cover image for Faith Gained Hundred Talks front volume
C16-p002,,2,,provenance/faith-in-mind/ocr/C16/page-images/C16-p002.png,,blank_front_endpaper,blank front endpaper spread
C16-p003,,3,,provenance/faith-in-mind/ocr/C16/page-images/C16-p003.png,,title_page,title page for ???????? ??
C16-p004,,4,,provenance/faith-in-mind/ocr/C16/page-images/C16-p004.png,,preface_or_author_note,prefatory or authorial front matter
C16-p005,,5,,provenance/faith-in-mind/ocr/C16/page-images/C16-p005.png,,preface_or_author_note,prefatory or authorial front matter
C16-p006,,6,,provenance/faith-in-mind/ocr/C16/page-images/C16-p006.png,,table_of_contents_or_front_matter,table of contents or related front matter
C16-p007,,7,,provenance/faith-in-mind/ocr/C16/page-images/C16-p007.png,,table_of_contents_or_front_matter,table of contents or related front matter
C16-p008,,8,,provenance/faith-in-mind/ocr/C16/page-images/C16-p008.png,,table_of_contents_or_front_matter,table of contents or related front matter
C16-p009,,9,,provenance/faith-in-mind/ocr/C16/page-images/C16-p009.png,,table_of_contents_or_front_matter,table of contents or related front matter
C16-p010,,10,,provenance/faith-in-mind/ocr/C16/page-images/C16-p010.png,,table_of_contents_or_front_matter,table of contents or related front matter
C16-p011,,11,,provenance/faith-in-mind/ocr/C16/page-images/C16-p011.png,,table_of_contents_or_front_matter,table of contents or related front matter
C16-p012,,12,,provenance/faith-in-mind/ocr/C16/page-images/C16-p012.png,,body,active front-volume commentary-related body
C16-p013,,13,,provenance/faith-in-mind/ocr/C16/page-images/C16-p013.png,,body,active front-volume commentary-related body
C16-p014,,14,,provenance/faith-in-mind/ocr/C16/page-images/C16-p014.png,,body,active front-volume commentary-related body
C16-p015,,15,,provenance/faith-in-mind/ocr/C16/page-images/C16-p015.png,,body,active front-volume commentary-related body
C16-p016,,16,,provenance/faith-in-mind/ocr/C16/page-images/C16-p016.png,,body,active front-volume commentary-related body
