page_id,leaf_id,page_number_display,side,image_path,crop_path,content_role,notes
A3-p001,,1,,ocr/A3/page-images/A3-p001.png,,title,front cover or wrapper for the NDL shiburokushou witness
A3-p002,,2,,ocr/A3/page-images/A3-p002.png,,title,blank inner wrapper or opening flyleaf
A3-p003,,3,,ocr/A3/page-images/A3-p003.png,,body,title-plus-opening page where the Faith in Mind derivative text begins
A3-p004,,4,,ocr/A3/page-images/A3-p004.png,,body,early body page of the A3 derivative witness with kana gloss support
A3-p005,,5,,ocr/A3/page-images/A3-p005.png,,body,body page of the A3 derivative witness
A3-p006,,6,,ocr/A3/page-images/A3-p006.png,,body,body page of the A3 derivative witness
A3-p007,,7,,ocr/A3/page-images/A3-p007.png,,body,body page of the A3 derivative witness
A3-p008,,8,,ocr/A3/page-images/A3-p008.png,,body,late body page of the A3 derivative witness
A3-p009,,9,,ocr/A3/page-images/A3-p009.png,,body,late body page carrying closing-band derivative commentary
A3-p010,,10,,ocr/A3/page-images/A3-p010.png,,body,late body page of the A3 derivative witness
A3-p011,,11,,ocr/A3/page-images/A3-p011.png,,body,closing page where the visible Faith in Mind close ends and appended end matter begins
A3-p012,,12,,ocr/A3/page-images/A3-p012.png,,other,post-target anthology material after the Faith in Mind derivative close
A3-p013,,13,,ocr/A3/page-images/A3-p013.png,,other,non-target anthology material
A3-p014,,14,,ocr/A3/page-images/A3-p014.png,,other,non-target anthology material
A3-p015,,15,,ocr/A3/page-images/A3-p015.png,,other,non-target anthology material
A3-p016,,16,,ocr/A3/page-images/A3-p016.png,,other,non-target anthology material
A3-p017,,17,,ocr/A3/page-images/A3-p017.png,,other,non-target anthology material
A3-p018,,18,,ocr/A3/page-images/A3-p018.png,,other,non-target anthology material
A3-p019,,19,,ocr/A3/page-images/A3-p019.png,,other,non-target anthology material
A3-p020,,20,,ocr/A3/page-images/A3-p020.png,,other,non-target anthology material
A3-p021,,21,,ocr/A3/page-images/A3-p021.png,,other,non-target anthology material
A3-p022,,22,,ocr/A3/page-images/A3-p022.png,,other,non-target anthology material
A3-p023,,23,,ocr/A3/page-images/A3-p023.png,,other,non-target anthology material
A3-p024,,24,,ocr/A3/page-images/A3-p024.png,,other,non-target anthology material
A3-p025,,25,,ocr/A3/page-images/A3-p025.png,,other,non-target anthology material
A3-p026,,26,,ocr/A3/page-images/A3-p026.png,,other,non-target anthology material
A3-p027,,27,,ocr/A3/page-images/A3-p027.png,,other,non-target anthology material
A3-p028,,28,,ocr/A3/page-images/A3-p028.png,,other,non-target anthology material
A3-p029,,29,,ocr/A3/page-images/A3-p029.png,,other,non-target anthology material
A3-p030,,30,,ocr/A3/page-images/A3-p030.png,,other,non-target anthology material
A3-p031,,31,,ocr/A3/page-images/A3-p031.png,,other,non-target anthology material
A3-p032,,32,,ocr/A3/page-images/A3-p032.png,,other,non-target anthology material
A3-p033,,33,,ocr/A3/page-images/A3-p033.png,,other,non-target anthology material
A3-p034,,34,,ocr/A3/page-images/A3-p034.png,,other,non-target anthology material
A3-p035,,35,,ocr/A3/page-images/A3-p035.png,,other,non-target anthology material
A3-p036,,36,,ocr/A3/page-images/A3-p036.png,,other,non-target anthology material
A3-p037,,37,,ocr/A3/page-images/A3-p037.png,,other,non-target anthology material
A3-p038,,38,,ocr/A3/page-images/A3-p038.png,,other,non-target anthology material
A3-p039,,39,,ocr/A3/page-images/A3-p039.png,,other,non-target anthology material
A3-p040,,40,,ocr/A3/page-images/A3-p040.png,,other,non-target anthology material
A3-p041,,41,,ocr/A3/page-images/A3-p041.png,,other,non-target anthology material
A3-p042,,42,,ocr/A3/page-images/A3-p042.png,,other,non-target anthology material
A3-p043,,43,,ocr/A3/page-images/A3-p043.png,,other,non-target anthology material
A3-p044,,44,,ocr/A3/page-images/A3-p044.png,,other,non-target anthology material
A3-p045,,45,,ocr/A3/page-images/A3-p045.png,,other,non-target anthology material
A3-p046,,46,,ocr/A3/page-images/A3-p046.png,,other,non-target anthology material
A3-p047,,47,,ocr/A3/page-images/A3-p047.png,,other,non-target anthology material
A3-p048,,48,,ocr/A3/page-images/A3-p048.png,,other,non-target anthology material
A3-p049,,49,,ocr/A3/page-images/A3-p049.png,,other,non-target anthology material
A3-p050,,50,,ocr/A3/page-images/A3-p050.png,,other,other anthology text; visible `十牛圖抄之終`
A3-p051,,51,,ocr/A3/page-images/A3-p051.png,,other,non-target anthology material
A3-p052,,52,,ocr/A3/page-images/A3-p052.png,,other,non-target anthology material
A3-p053,,53,,ocr/A3/page-images/A3-p053.png,,other,non-target anthology material
A3-p054,,54,,ocr/A3/page-images/A3-p054.png,,other,non-target anthology material
A3-p055,,55,,ocr/A3/page-images/A3-p055.png,,colophon,colophon-like or appended tail matter after the main anthology body
A3-p056,,56,,ocr/A3/page-images/A3-p056.png,,title,blank rear inner wrapper or flyleaf
A3-p057,,57,,ocr/A3/page-images/A3-p057.png,,title,rear wrapper or back cover for the NDL shiburokushou witness
